이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
SSS급 로맨스 단편선,kakaopage,앤트스튜디오,앤트스튜디오,로판,시즌 휴재,월,182.7만,10.0,55,3,1일,"로맨틱코미디,드라마,짝사랑,능력녀,로맨스판타지,여주판타지,왕족/귀족,카리스마남,걸크러쉬,여공남수,배틀연애,개그물","500년 전, 마계와의 접경지에 인간들의 왕국이 세워진 후부터왕국과 마계는 영토를 둔 전쟁을 계속해 왔다그리고 시간이 흘러 왕국에는 영웅의 후예인 공주님이 태어났다그러나 성검의 간택을 받은 공주님은 무시무시한 무력을 앞세운 폭군이었는데…늘 갑옷 차림으로 전쟁터를 누비고, 수틀리면 검부터 휘두르고, 사람을 발받침으로 쓴다는 소문까지 도는말그대로 천상천하 유아독존 공주님그러던 어느 날, 평화로운 왕궁에 위기가 찾아온다소풍 나가듯 마족 토벌에 갔던 공주가 처음으로 드레스를 입고 왕궁에 들이닥친 것이다“아바마마, 저, 결혼할래요”대체 어떤 불쌍한 녀석이 이 망나니 공주에게 걸렸을꼬?“바로 마왕이에요”왕국은 무사히 평화를 지킬 수 있을까?SSS급 로맨스 단편선 중 첫 번째 작품",https://page.kakao.com/content/60213137
공작 부인의 은밀한 집필,kakaopage,버터,지요,로판,시즌 휴재,월,239.3만,9.8,69,3,1일,"로맨스판타지,가상시대물,운명,츤데레남,다정녀,달달물,로맨틱코미디,잔잔물,힐링물","오랜 시간 글을 써오면서 이렇게 열혈 독자를 만난 것은 처음이었다‘내가 필인 걸 말할 수는 없지만 뭐라도 해주고 싶어’엘리샤는 드레스를 잡고 있던 손을 슬그머니 뻗었다“음, 내가 악수……해 줄까요?”“네……?”“아니면, 안아줄까요?”그 순간, 레사의 동공이 사정없이 흔들리기 시작했다* 남자주인공: 레사 블라크 아르문트 – <리턴 나이트> 작가 '필'의 열혈 팬 우연히 서점에서 만난 엘리샤의 모습에 호기심을 느끼고 정략 결혼을 결심한다* 여자주인공: 엘리샤 로즈 베버 – 제국 최고의 인기 작가 '필' 부모님의 결혼 압박으로 <리턴 나이트>를 쓰다가 무기한 중단에 들어간다* 이럴 때 보세요: 소확행 사랑 이야기가 보고 싶을 때* 배경/분야: 서양풍/로맨스판타지* 작품 키워드: #판타지물 #서양풍 #왕족/귀족 #정략결혼 #선결혼후연애 #츤데레남 #존댓말남 #다정녀 #외유내강 #단행본 #달달물 #",https://page.kakao.com/content/60000788
대치동 클래스,kakaopage,팀 이프(드림웹툰),팀 이프(드림웹툰),드라마,시즌 휴재,월,50.1만,9.8,29,4,1일,"현대물,학원물,일상물,성장물,입시,일상,회귀/타임슬립,사제지간,잔잔한,이야기중심,전문직,남주중심","'사학 비리 폭로' 실패로 명문 고등학교 교사에서 허름한 학원 강사로 전락한 강명문자신의 과거를 후회하던 나날, 어떤 사건에 의해 초임 교사 시절로 회귀하게 되는데지금까지 쌓은 입시 노하우를 토대로 최고의 교사가 되기 위한 그의 고군분투가 시작된다",https://page.kakao.com/content/61778913
쥐구멍 볕 들 날,kakaopage,여내,창식,로맨스,완결,완결,128.1만,9.9,56,3,3시간,"현대로맨스,성장물,막장,우연한만남,다정남,순정남,존댓말남,대형견남,순진남,평범녀,사이다녀,다정녀,달달물,드라마,권선징악","빛나는 20대를 빚 갚느라 다 보냈다겨우 다 갚았더니, 또 새로운 빚이 생겼다지긋지긋한 세상과 작별하기 위해 찾아간 다리 위에서자신처럼 극단적인 선택을 하려는 남자와 마주친 예나소동 끝에 자살에 실패한 두 사람은서로의 사정이 아주 조금 궁금해졌다""예나 씨는 왜 죽으려고 했어요?""""빚 갚을 돈이 없어서요""""그 빚, 제가 갚아 줄까요?""햇살처럼 따스한 남자, 주원의 목소리춥고 어둡기만 했던 예나의 삶에도드디어 볕 들 날이 찾아온 것일까?",https://page.kakao.com/content/60345457
패왕의 별,kakaopage,위드칸,위드칸,무협,시즌 휴재,월,996.1만,9.6,122,3,3시간,,"강렬하고 붉은 패왕의 별이 떴다그 별의 정기를 받고 태어난 아이는 자라나 패왕이 되고천하(天下)를 지배하게 된다는 전설의 별미천한 자리에서 가장 높은 곳에 오르려는 자, 천류영“내 그릇의 크기는 나도 몰라”“아직까지 그릇을 채울 만큼 담아본 적이 없거든”거침없는 전진으로 패왕을 소유하려는 자, 백운회 “어차피 내가 갈 곳은 무림밖에 없다”“기왕이면 패왕이 되어 보는 것도 나쁘지는 않겠군”아름다움과 강함을 지닌 독보적인 여고수, 독고설 “패왕성의 주인이 반드시 남자라는 법은 없지”“그러니 나도 가능성이 있어”의문어린 과거와 무공의 깊이를 알 수 없는 자, 풍운 “아무도 모른다”“내 몸 속에 감춰진 강력한 무공을”하나의 패왕(覇王)하나의 자리를 놓고 벌이는 치열한 야망과 사랑 그리고 긴박하게 펼쳐지는 수많은 지략과 배신과연 붉은 패왕성의 주인은 누가 될 것인가?천하를 격동시키는 그들의 이야기가 이제 시작된다",https://page.kakao.com/content/58884852
애아빠를 찾습니다,kakaopage,어궁이,DXD Animation,로판,시즌 휴재,월,4.9만,9.4,46,3,,"로맨스판타지,육아물,원나잇,속도위반,막장,여주판타지,역하렘,능글남,다정남,바람둥이,나쁜남자,왕족/귀족,연하남,능력녀,걸크러쉬","로트와일러 가문의 막내 영애 리시안은 많은 사람들의 축하를 받으며 성년식을 거하게 보내고 홀로 침대에서 깨어난다정신차리고 주변을 둘러보니 널부러진 옷들로 너저분한 방바닥, 그리고 발가벗은 이 꼴은'아 사고 쳤다' 그녀가 기억나는 것은 지난 밤의 모르는 남자의 온기 뿐하룻밤의 사고인 줄 알았으나 얼마 후 리시안은 새로운 생명을 가진 것을 알게 되었는데애아빠 후보는 총 세 명1번 오랜 소꿉친구, 2번 황태자, 3번 아는 동생과연 그날 밤의 남자, 그리고 애아빠는 누구일까?",https://page.kakao.com/content/61936759
SSS급 그림쟁이 소환사,kakaopage,용용이,CREAM호빵,판타지,완결,완결,52.6만,7.8,35,36,,"차원이동,귀환,생존,이능력",어느 날 갑작스럽게 발생한 지진으로 이세계로 떨어진 “신진호” 와 회사 동료들…알고 보니 이세계는 친형이 그린 웹툰과 모든 내용이 똑같은 세계였다 오랜 무명작가로 잇단 차기작 실패로 좌절하고 자신의 작품을 비관하며 어디론가 사라져버린 형…형의 웹툰 속 세계관과 스토리를 잘 알고 있는 진호만이 이세계를 제대로 공략할 수 있다이에 진호는 회사 동료들과 함께 이세계를 탈출하여 원래 세계로 돌아가는 것과 사라진 형의 행방이 두 마리 토끼를 한꺼번에 해결하고자 여행을 떠난다,https://page.kakao.com/content/60675587
천재 영업사원이 되었다,kakaopage,STUDIO107(울트라미디어),STUDIO107(울트라미디어),드라마,완결,완결,350.1만,9.9,71,0,1일,"현대물,권선징악,성장물,회사원,초능력,노블코믹,분량많은,이야기중심","만년 열등 영업사원, 천재 영업사원이 되다메디컬 영업사원 '지훈'은 매사 근면 성실한 자세로 영업하지만, 온갖 로비와 불법행위로 영업 성과를 독차지하는 '최 과장'에게 매번 뒤처진다그럼에도 나쁜 유혹에 흔들리지 않고 진심으로 상대를 대하는 지훈에게 아주 특별한 능력이 발현되는데…다른 사람들의 속마음이 들리기 시작했다?",https://page.kakao.com/content/59603360
태양을 삼킨꽃,kakaopage,"오성영, 염",신소,로판,연재중,금,197만,9.8,57,3,1일,"로맨스판타지,초월적존재,첫사랑,왕족/귀족,냉정남,카리스마남,무심녀,능력녀,철벽녀,경쟁구도,운명,궁정로맨스,환생물","위대한 대마법사 아마르잔그런 그가 오래전부터 품고 있던 염원이 있었으니…바로 신이 되고자 하는 열망이었다""누구도 나를 내려다보지 못하게 하리라""하지만 신이 되기에 무언가 부족했던 것일까?오만한 신계는 그에게 문을 열어주지 않았다결여된 무언가를 찾아라비범한 아마르잔의 삶에서 얻지 못한 것이 있다면,그 반대로 평범한 인생을 살리라그렇게 대마법사의 영혼은 이슬을 머금은 듯한 은발과 사파이어처럼 투명한 눈동자아름다운 소녀, <슈리아 아델트>로 다시 태어나게 된다그런데, 자꾸만 내 계획을 방해하는 저 녀석은 뭐지?전생에서도 현생에서도 아마르잔에게 없는특별하고 고귀한 태생을 가진 황태자 <렌카이저>질투심에 불타오르는 슈리아그런데 슈리아를 바라보는 황태자의 눈빛이 조금 이상하다""저자를 지켜봐야겠…, 그냥 죽일까?""",https://page.kakao.com/content/61320736
천추강호,kakaopage,황성,황성,무협,완결,완결,159만,9.7,170,2,3시간,,"천추강호를 꿈꾸는 천하제일가가문에 드리운 음모의 싹이 트면서,어둠의 운명과 강호 혈풍이 불기 시작한다너는 무엇에 운명을 걸 것인가?내가 천하제일가 적통 후계라고?전혀 관심 없어그런 후광이 없어도 지금까지 잘 살아왔고, 앞으로도 그럴 거야내 인생은 내가 선택하는 거니까",https://page.kakao.com/content/61755300
내 짝꿍은 뱀파이어!,kakaopage,식인붕어,식인붕어,로맨스,연재중,월,93.2만,10.0,35,36,,"현대로맨스,학원물,오해물,첫사랑,까칠남,다정남,엉뚱발랄녀,계약관계,삼각관계,로맨틱코미디","""네? 제가요? 뱀파이어 여왕이요?""뱀파이어와 인간이 공존하는 세상에평범한 인간인 '한예슬'은 말도 안 되는 실수로뱀파이어들만 다니는 '백세고등학교'에 지원하게 된다인간인 걸 들키지 않기 위해 머리도 염색하고 렌즈도 꼈지만너무 과했던 걸까? 다들 나를 전설에나 나오는'순혈' 뱀파이어로 보고 여왕으로 떠받든다이왕 이렇게 된 거 1년 뒤에 전학 가기 전까지완벽한 뱀파이어 여왕을 연기해 주마라는 심정으로 다짐하기도 무색하게화장실에서 찬결에게 인간이란 걸 들키게 된다찬결과 엮일수록 계속해서 이상한 일들에휘말리는 인간 한예슬은 뱀파이어들이 득실대는이 뱀파이어 학교에서 무사히 1년을 마치고 전학 갈 수 있을까?",https://page.kakao.com/content/61985749
사장님의 특별지시,kakaopage,박한나,지나,로맨스,시즌 휴재,월,"1,464.3만",9.9,81,4,3일,,"화장품업계 신흥강자 G 코스메틱 사장 최정우뛰어난 업무 처리 능력과 미모를 가진 그녀의 비서, 신수현어느 날, 난데없이 사장의 특별한 지시가 떨어졌다“신 비서, 나랑 결혼해줘”복사해줘, 자료 정리해줘, 일정 체크해줘, 처럼 여상하게 내려온 상사의 지시밤마다 사장에게 보내지 못한 사직레터를 새로 쓰고 또 쓰며 모으던우리의 조신남 수현은 이제 사표를 낼 때가 되었다고 생각하지만…이 결혼, 조건이 너무 끝내주잖아?두 사람의 오피스&신혼살이 예측불허 연애담",https://page.kakao.com/content/58144564
유혹은 화끈하게,kakaopage,김수오,"몬몬, 마로제이(연출)",로맨스,완결,완결,22.3만,9.6,71,3,3일,"현대로맨스,사내연애,철벽녀,재벌남,로맨틱코미디",잡지사 나-베스트의 입사 3개월차 신입사원 무성희누구라도 사랑에 빠져버릴 만큼 미인이지만 그녀는 철벽녀다그런 그녀가 자기에게 호감을 가졌다고 착각을 하게 된 극도의 자뻑 편집장이자 대표 나제일'오늘 부터 한 달 동안 무성희 씨를 유혹하겠다'고 선언한다30일간의 카운트다운 시작자뻑 나제일은 철벽녀 무성희를 유혹할 수 있을까…,https://page.kakao.com/content/59130161
교룡의 주인,kakaopage,,박래모(Terapin),로판,시즌 휴재,월,137.1만,9.7,51,3,3일,"로맨스판타지,궁정로맨스,가상시대물,신화물,운명,인외존재,시한부,짝사랑남,존댓말남,철벽남,외유내강,철벽녀,계약관계,갑을관계,치유물","""심장에 여의주를 품은 왕이 용과 함께 다스리는 곳, 예락그리고 세자에게 자신의 심장을 바쳐야 하는 왕족, ‘마니’이번 대의 ‘마니’ 유리서란은 맹약식 날 자신의 교룡에게 세 번의 명령만 내리고자유를 주겠다는 약속을 한다그럼에도 다들 그녀를 외면하는 가운데,유일하게 나선 단 한 명의 교룡“이름이 무엇이냐?”“여울입니다”“내 교룡(蛟龍)이 된 것을 후회하지 않도록 해 주마”약속대로 궁 밖의 세상으로 떠나려는 여울에게서란은 서간을 보내 달라는 첫 번째 명령을 내린다그리고 11년 후,마니식을 앞두고 돌아온 여울에게 내린 두 번째 명령“내게 바다를 보여 줘”그렇게 그녀의 일생 중 가장 긴 여행이 시작되었다그 여행의 끝에서 그녀가 내릴 마지막 명령은 과연 무엇일까?""---------------------------------------------------------<본 저작물은 문화포털에서 제공한 전통문양을 활용했습니다>",https://page.kakao.com/content/60436204
지옥락,kakaopage,카쿠 유지,카쿠 유지,액션,완결,완결,3.8만,10.0,127,1,,,"최강의 닌자로서 이름을 떨쳤지만 탈주닌자로서 붙잡히게 된 가비마루는, 참수 집행인인 ‘야마다 아사에몬 사기리’로부터 무죄 방면이 될 수 있는 조건을 제안 받는다그 조건은 극락정토라고 소문이 난 땅에서 ‘불로불사의 선약’을 손에 넣는 것…삶과 죽음을 깨닫는 인법 낭만 활극, 개막──── JIGOKURAKU © 2018 by Yuji Kaku/SHUEISHA Inc",https://page.kakao.com/content/60889923
수라전설 독룡,kakaopage,,영광(앤트스튜디오),무협,휴재,휴재,"2,560.4만",9.9,135,14,1일,"복수,무림,성장,독",유구한 역사를 자랑하는 약문(藥門)들의 잇따른 멸문지화시체가 산처럼 쌓이고 피가 바다처럼 흐르는절망의 지옥에서 마침내 수라(修羅)가 눈을 뜬다- 하나도 남김없이 모두 죽일 것이다놈들을 전부 죽일 때까지 절대로 끝내지 않아약문 백화절곡의 유일한 생존자 진자강먼 훗날 강호 무림사에 전설로 기록될한 사내의 고독한 복수행이 시작된다,https://page.kakao.com/content/56599549
악녀에게 반하지 마세요,kakaopage,정해진,숭치,로판,완결,완결,140.8만,9.4,60,3,3일,"로맨스판타지,빙의물,여주판타지,까칠남,왕족/귀족,카리스마남,능력녀,걸크러쉬,사이다녀,우월녀,털털녀,라이벌/앙숙,달달물,드라마",눈을 떠보니 제국 최악의 악녀 이그나 라크벨라에 빙의했다고? 심지어 집안이 쫄딱 망했어? 하지만 걱정 마시라 내 재능으로 다시 일어설 뿐이니까 비호감 1위인 몰락한 악녀에서 제국 최고의 인기인이 되기까지의 이야기,https://page.kakao.com/content/59737966
이 봄을 갖고 싶다,kakaopage,황미리,황미리,로맨스,완결,완결,"3,193.9만",9.7,151,7,1일,,이 남자가 내 맘에 들어오는 순간불안하고 어색하고 화가 났다가도간지럽고 두근두근거린다밀어내고 밀어내도계속 다가오는 당신내 불안과 두려움이숨 막힐 듯 조여 온다는 걸당신은 알까? 지금껏 여자와의 관계에 있어서는 늘 내가 우위에 있었는데어째서 너는 잡힐 듯 잡히지 않으면서폭풍처럼 날 흔드는 거지?안고 싶다만지고 싶다가지고 싶다이 여린 여자를 내 걸로 만들고 싶다미친놈 이런 상황에서도 가지고 싶다니차 준우 너 진짜 미쳐도 단단히 미쳤구나,https://page.kakao.com/content/54508643
펜친소,kakaopage,바다다,바다다,로맨스,완결,완결,491,10.0,16,3,,,"통신과 기계의 발달로 SNS로 전세계 사람들과 소통하는 게 기본이 된 지금, 고등학교 3학년인 성실은 10년동안 얼굴도 모르는 친구인 제시와 펜팔을 이어오고 있었다 수능 스트레스에 성실은 제시에게 홧김에 만나자 제안을 하고, 놀랍게도 흔쾌히 한국으로 만나러 오겠다고 답을 보낸 제시 기다리던 약속의 날, 공항으로 온 성실은 노란 후드티를 입고 제시의 모습을 상상하며 기다렸지만 나타난 제시는 다름아닌 남자였다 하지만 성실이 알고 있던 제시는 동갑내기 여자아이였는데…?",https://page.kakao.com/content/61681172
당신의 죽음을 바칠 시간,kakaopage,게챠,아시스,로판,휴재,휴재,344.3만,9.9,81,3,1일,"로맨스판타지,성장물,빙의물,왕족/귀족,연하남,츤데레남,능력남,능력녀,자상녀,외유내강,걸크러쉬,순정남,상처남,집착남,존댓말남","마흔 살이었던 일리안이 눈을 뜨고 본 것은 작아진 손이었다늙은 용병이었던 그녀는 10년을 거슬러 열두 살의 어린아이,헤이븐 윈터가 되어 있었다우선 망해가는 가문도 다시 세워야 하고,과거로 돌아온 김에 이전 생에서 지키지 못한 것들도 지켜내야겠다그런데… 이전 생에서 거슬리던 녀석이 이번 생에서도 눈에 밟힌다?""너는 일리안 하인리히가 아니니까""도대체 과거의 나는 너에게 뭐였던 거야",https://page.kakao.com/content/59990686
뱀파이어의 아들들,kakaopage,,아가,드라마,시즌 휴재,월,216.7만,10.0,39,4,1일,,인간들과 함께 살아가는 뱀파이어 가족흡혈 욕망에서 자유로워지는 방법은바로 진정한 사랑♡♡♡ 아들1 차지성우등생-명문대-대기업 코스를 걸어온 엄친아오래 사귄 여친과 사내 비밀연애 중 아들2 차유성잘나가는 쇼핑몰 사장 겸 모델3개월마다 여친이 바뀌는 바람둥이 아들3 차혜성세상에서 게임이 제일 좋은 막내뱀파이어 피를 가장 진하게 물려받은 탓에 홈스쿨링 중 사랑을 믿지만 현실에 부딪치는 지성사랑을 믿지 않지만 외로움은 싫은 유성사랑을 알지 못하는 천방지축 혜성 <뱀파이어의 아들들>은 인간들 사이에서 행복해질 수 있을 것인가,https://page.kakao.com/content/60645694
연생대딩,kakaopage,뱅기,순정,로맨스,완결,완결,81.3만,9.9,52,3,3일,"현대로맨스,캠퍼스물,성장물,운명,다정남,순정남,능력녀,삼각관계,친구>연인,달달물","7년차 아이돌 장수 연습생 시은은 현실을 직시하고 앞날을 위한 플랜B를 생각하게 된다시은은 지은이란 이름으로 바꾸고, 평범한 대학 생활을 꿈꾸며 대학에 진학하게 되는데",https://page.kakao.com/content/60081337
은행의 공녀님,kakaopage,송송,퍄프리카가루,로판,시즌 휴재,월,108.3만,9.9,27,3,1일,"로맨스판타지,타임슬립,재회물,회귀물,첫사랑,트라우마,능글남,왕족/귀족,카리스마남,후회남,능력남,짝사랑남,집착남,능력녀,뇌섹녀","""사교계의 꽃이자 요정의 현신이라 불리던 아름다운 공녀 아드리아나사랑하는 남자를 만나 행복한 삶을 꿈꿨던 그녀는 음모에 휘말려 가족을 잃고 남편의 불륜 상대에 의해 비참한 죽음을 맞는다드디어 이 고통이 끝났다는 해방감이 무색하게 눈을 뜬 그녀는 8년 전의 과거로 돌아와 있었다“그 비참한 삶을 또다시 반복할 수는 없어”가문을 둘러싼 음모를 밝히기 위해 정체를 숨기고 가문 소유의 은행으로 숨어 들어가는 아드리아나 겨우 들어간 은행은 다 무너져 가는 분점이었고, 손님은 지지리도 없다 게다가 은행의 호위는 과거에 인연이 있었던 수상한 소드마스터라니?과연 아드리아나는 이번 삶에선 행복하게 살 수 있을까?""",https://page.kakao.com/content/61262517
금복이 이야기,kakaopage,공삼,공삼,드라마,완결,완결,796.5만,10.0,113,2,3시간,"동양풍,일상물,힐링물,일상,동물,귀여운,이야기중심,잔잔한","[조선시대 금빛 복을 부르는 작은 검은 고양이]조선시대, 불길하다 여겨 구박받던 검은 고양이를 유일하게 감싸준 선비 고양이를 구원하고, 고양이에게 구원받다 착하고 돈 많고 잘생겼지만 몸이 약해 외로웠던 선비 의균은 우연히 만난 길 잃은 고양이에게 금복이라는 이름을 붙여준다 금복이는 밤마다 소년으로 변하는 기이한 고양이로, 자신을 거둬준 의균에게 은혜를 갚기 위해 냥냥분투하는데…",https://page.kakao.com/content/58502023
남의 사랑 이야기,kakaopage,사란,사란,로맨스,완결,완결,52.2만,9.7,51,5,3시간,,"내 인생에 사랑은 사치일까일 잘하고, 능력 있고, 이성적인 '선아'는자기감정에 유독 서툴다 특히 연애 감정남들은 좋아 죽는다는 그 사랑이 대체 뭔지, 어떤 기분인지공감 못 하면서도 한 번도 겪어보지 못한 진솔한 사랑에놓을 수 없는 환상과 부담을 갖고 있는데건너 건너 소개로 만났던 남자친구가 바람을 피워 헤어지게 된 날,예상치 못한 새로운 만남을 갖게 된다과연 이번에는?",https://page.kakao.com/content/61345283
쥐뿔도 없는 회귀,kakaopage,강아지마스터,강아지마스터,판타지,시즌 휴재,금,333.4만,9.8,62,3,3일,,"이세계 '에리아'에 소환된 평범한 중학생 이성민아무런 재능도 기연도 없이 오로지 살아남기 위해 갖은 고초를 겪으며 십수년을 버티지만, 결국 비참하게 목숨을 잃고 만다그러나 죽기 전, 우연히 손에 얻은 '전생의 돌'에 의해 과거로 회귀하게 되고다시금 새로운 삶을 손에 얻게 된다그러나 여전히 재능도 뭣도 없는 쥐뿔도 없는 인생범접할 수 없는 천재들에게 번번이 높은 벽을 느끼고강한 열등감에 시달리지만,포기하지 않고 굳은 의지와 결심으로 한 걸음씩 나아간다""어떻게든 발버둥 쳐서라도, 전생보다 나은 삶을 살겠어""인기 웹소설 <쥐뿔도 없는 회귀> 웹툰화",https://page.kakao.com/content/59061428
모시던 아가씨가 도련님이 되어버렸다,kakaopage,시그마,시그마,로판,완결,완결,"3,635.9만",10.0,119,3,3일,,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다*원작 여주인공의 시녀 생활을 청산한 지도 4년웬 잘생긴 남자가 찾아왔다그것도, 내가 모시던 아가씨를 닮은 남자가“약속을 지키러 왔어, 블레아 나와 평생을 함께하겠다고 했잖아”“설마… 아가씨?”순간, 남자의 붉은 눈에 이채가 돌았다코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다그리고 속삭였다아주 다정하고 아름다운 목소리로“이젠 도련님이라 불러야지”……네?*원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고남주인공 후보들과 해피라이프를 즐길 수 있었다하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니……여주인공이 알고 보니 남자라면 어떻게 되는 거지?“크… 클로드, 가족들에게 가보지 않아도 괜찮아요?”“말했잖아 필요 없어”“그럼 저번에 그 남자분들은……”“지금 내 앞에서 다른 남자 이야기를 하겠다고?”…그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요“나는 너만 있으면 돼 다른 건 알 바 아냐”가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다“그러니, 블레아 너도 나만 보는 거야”전에 없이 다정한 눈 속에 집착이 가득했다*********************로판 화제작 태비의별 작가님의 <모시던 아가씨가 도련님이 되어버렸다> 본격 웹툰화빙의된 하녀 블레아와 츤데레 클로이의 티키타카 찐케미를 만나보세요*********************",https://page.kakao.com/content/55249956
그 책에 마음을 주지 마세요,kakaopage,문시현,임조조,로판,시즌 휴재,월,966.5만,10.0,79,7,3시간,"로맨스판타지,피폐물,빙의물,운명,집착남,무심녀,걸크러쉬","로맨스 피폐 소설 「루스벨라의 빛」엑스트라인 황제의 여덟 번째 황녀로 환생에 새로운 삶을 꿈꾸던 아실리 로제,그런 그녀의 앞에 미래를 예지하는 일기장이 나타나는데……「너에게 난 어떤 의미인가?질문이 끝나자 황태자님이 예쁘게 웃더니, 날 죽였다」피도 눈물도 없는 황태자에게 살해당할 미래만을 예고하는 일기장불행히도 아실리는 죽어도 죽어도 다시 살아나 계속 살해당했다반복되는 죽음 속에서 천천히 미소를 잃고 변해가는 아실리도무지 피할 길이 없는 죽음, 이 미래를 피해 생존할 수 있을까?한데 어째서인지 메말라 갈수록 아실리 곁에는 사랑을 갈구하는 남자들이 모여드는데……“제가 오라버니에게 무엇을 줄 수 있는데요?”“이름을 불러 봐”이 사랑은 모두가 진짜일까?“사랑합니다 당신을 갖고 싶은 욕심은 사랑이 아닙니까?”다가오는 남자들의 진심은?“웃기지 마 내 삶은 내 거야”",https://page.kakao.com/content/57177092
아파도 하고 싶은,kakaopage,김인정,김인정,로맨스,완결,완결,"2,514.7만",10.0,74,7,2일,"현대로맨스,동거물,짝사랑,첫사랑,상처남,자상녀,계약관계,잔잔물,치유물,드라마,애잔물","‘그’를 아주 오랫동안 짝사랑해왔다하지만, 그에게 하연은 여자가 아니었다 좋게 봐야 같은 동아리 후배, 더 나아가서는 같은 직장에 다니는 여자애 그냥 그 정도그랬던 그가 결혼을 한다?“선봐서 곧 결혼할 거야 되도록 이른 시일 내에”모르는 여자와의 계약 결혼을 할거라는 남자의 말에 하연은 오랫동안 간직했던 감정을 억누르지 못했다 “꼭 하셔야 한다면… 저랑 해요, 그 결혼”서투룬 유혹, 남자의 단단한 등에 매달려 뜨거운 입술을 겹쳤다발칙한 후배의 도발 선배는 화를 낼까 아니면 미쳤다고 비웃을까 그러나 남자의 입에서 나온 말은 예상외의 것이었다“할 거면 제대로 해야지” <아파도 하고 싶은>",https://page.kakao.com/content/55140699
장봉행,kakaopage,무후경연,유자양면,무협,연재중,월,342.1만,9.7,204,7,2일,"검,술법","30년 전, 사람의 마음을 조종할 수 있는 4자루의 요도(妖刀)가 무림에 뿌려지면서 수많은 사람들의 목숨을 빼앗았다 30년 뒤, 기이한 살인사건들이 여러 건 일어나고 그 사건들 배후에는 요도가 있다는 소문이 돌기 시작한다 평범한 대장장이 소년이었던 주인공 배열은 어느 날, 한 강호 문파에 검을 배달하러 갔다가 기이한 장면을 목격한다 그것은 바로 한 마을 청년이 괴물의 모습을 한 채 한 자루의 칼을 휘두르며 문파 장문인의 여제자와 싸우고 있는 모습이었다 4자루의 요도와 4대문파, 무공을 수련한 적도 없는 배열은 그 소용돌이 속에서 살아남을 수 있을까?",https://page.kakao.com/content/53504913
부드러운 폭군,kakaopage,,스푼코믹스,로판,완결,완결,230.4만,9.5,90,3,3일,"로맨스판타지,중세물,나쁜남자,왕족/귀족,차도남,능력남,평범녀,순진녀,다정녀,정략결혼,드라마","거대한 제국 란시아의 황제, 카알 라킨잔혹한 성품의 황제로 인해 그의 하렘에서는 언제나 피의 비가 내린다또 한 명의 후궁이 그의 손에 죽어 나가고그 자리를 채우게 된 노스앤드 영주의 딸 에리카 코르잔혹한 황제와 한없이 연약해 보이는 소녀, 에리카를 보고 사람들은 모두 그녀가이 하렘에서 오래 살아남지 못할 것이라 예측하지만, 모두의 예상과는 달리 에리카는 점차 카알 라킨의 뒤틀린 표면 아래에 다른 모습이 숨어 있다는 것을 알게 되고카알 또한 나약해 보였던 에리카와 지내며, 자신의 상처가 아물어 가는 것을 느낀다그렇게 그들은 서로에게 애틋함을 느껴 가지만 황제와 그의 약혼녀라는 그들의 신분은 그들을그저 사랑을 느껴가는 연인 관계로 내버려 두지 않는데…",https://page.kakao.com/content/58761025
일레나 에보이 관찰일지,kakaopage,,도롱,로판,완결,완결,"2,673",10.0,101,3,,"짝사랑,첫사랑,로맨스판타지,짝사랑남,순정남,능력남,능력녀,철벽녀,친구>연인,달달물,힐링물,오해물","태생부터 고귀한 황족 출신에, 명석한 두뇌,게다가 웃음 한 번으로 사람을 홀릴 만큼 뛰어난 미모의 소유자요한 엘도라도 페르탄그런 요한이 아카데미 수석 입학생이 되는 건 너무나 당연했다일레나 에보이가 나타나기 전까지는""요한, 솔직히 말해 봐 너 일레나 에보이한테 관심 있지?""""…누구한테 진 건 처음이니까""완벽한 인생에 차석이라는 있을 수 없는 일이 일어났으니마음이 어지러운 게 당연한지도 몰랐다 그런데…'왜 자꾸 일레나의 발자취만 좇게 되는 걸까적은 잘 관찰해야 하니까? 만약 그게 아니라면…'",https://page.kakao.com/content/63955017
미친남녀,kakaopage,FCS,6cc,드라마,완결,완결,54.8만,9.6,61,4,1일,"권선징악,성장물,요리능력물,음식/요리,초월적존재,초능력,요리사,이종족,여주중심",사람을 죽였다는 누명과 함께 미친 여자 취급을 받는 전직 한식 최고의 셰프 해오름요리사 자격증도 없는 자신을 터무니 없는 돈을 주며 고용하겠다는 미친남자 윤달에게 제대로 걸렸다그에게 이끌려 도착한 식당 '식사예절' 에서 셰프로 다시 일한다는 일말의 기대감을 갖지만첫 손님이 죽은 사람일 줄은 상상도 못했다,https://page.kakao.com/content/59572719
