이름,플랫폼,작가,첫화링크,장르,조회수,좋아요,무료,줄거리,키워드,상태,요일,무료주기
나의 손절일지,kakao,프로젝트지늉,https://webtoon.kakao.com/content/%EB%82%98%EC%9D%98-%EC%86%90%EC%A0%88%EC%9D%BC%EC%A7%80/3772,판타지 드라마,162.4만,1.8만,28.0,"내 인생 대체 어디서부터 잘못된 걸까?짧은 인생, 남 탓도 못하고우당탕탕 이곳저곳에 치이고 구르기만 하다스트레스로 찌든 채 허망한 죽음을 맞이한 남자 '성지환'운 좋게도(?) 그 흔하다는'회귀물' 주인공으로 다시 태어났는데어라? 내 재미없는 현실은 그대로?할 수 있는 건 '하지 않기'밖에 없단다어쩔 수 없지,적어도 내 인생에 방해만 된 쓰레기들, 그 인연 손절하겠다초능력이라고 하기엔 너무 사소한이것만으로 인생을 바꿀 수 있을까?""함께 해서 더러웠고, 이번 생엔 만나지 말자""","몰입되는,개성있는,판타지드라마,회귀물",연재,월,전편 무료
SSS급 창고 캐릭터로 살아남기,kakao,"빈집, 석효",https://webtoon.kakao.com/content/SSS%EA%B8%89-%EC%B0%BD%EA%B3%A0-%EC%BA%90%EB%A6%AD%ED%84%B0%EB%A1%9C-%EC%82%B4%EC%95%84%EB%82%A8%EA%B8%B0/3918,판타지 드라마,30.6만,1만,3.0,[어느 날 게임 속 창고 캐릭터가 되어버렸다]초 고난이도 가상현실 게임 <오버 더 판타지>만렙 캐릭터를 일곱 개나 키운 고인물이 게임 속에 갇혀 버렸다하필이면 10레벨짜리 창고 캐릭터로 말이다볼품없지만 재화와 아이템이 풍족해서 그나마 다행인 건가?,"통쾌한,몰입되는,판타지드라마,빙의물",연재,월,3시간마다 무료
배틀슬라임,kakao,noflxsh,https://webtoon.kakao.com/content/%EB%B0%B0%ED%8B%80%EC%8A%AC%EB%9D%BC%EC%9E%84/3921,학원/판타지,26.6만,"6,805",23.0,"핵폭탄을 사용한 3차 세계대전이 휩쓸고 간 지구는 인간과 생명체들을 멸망 직전까지 몰고 간다 국가라는 개념이 없어지고 민족화된 세상 타이탄 사는 황폐화된 세계를 슬라임을 사용해 점차 복구시키고 자원을 독점하면서 지구상 유일무이한 기업으로 성장한다 타이탄 사의 수장 제네시스의 목표는 오직 하나 슬라임과 성장기 아이들을 결합시켜 지구에 블랙홀을 일으킨 후, 자신의 야망을 실현시킬 신을 만드는 것 이를 막기 위한 천방지축 노아와 까칠한 아크의 사투를 그린 이야기","몰입되는,압도되는,학원/판타지,복수물",연재,월,전편 무료
아도니스,kakao,구당,https://webtoon.kakao.com/content/%EC%95%84%EB%8F%84%EB%8B%88%EC%8A%A4/1392,로맨스 판타지,"1,505만",15.3만,7.0,"자신과 누구보다 닮았던 자,그래서 서로에게만 집중했고 광적으로 집착했다 다만 한쪽은 상대의 온기를,한쪽은 완전히 꺾기를 원한 아르하드와 이아나주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서삶을 미련 없이 끝내지만,영문도 모른 채, 다시 되살아나자신이 살아왔던 삶을 반복하게 된다전생에서 파국을 맞이하게 된 두 사람은,새로운 생에서도 또다시 만나게 되고,비극을 반복하게 되는 것일까…","개성있는,압도되는,로맨스판타지,회귀물",연재,월,12시간마다 무료
버림받고 즐기는 소박한 독신의 삶,kakao,"감주, 온도",https://webtoon.kakao.com/content/%EB%B2%84%EB%A6%BC%EB%B0%9B%EA%B3%A0-%EC%A6%90%EA%B8%B0%EB%8A%94-%EC%86%8C%EB%B0%95%ED%95%9C-%EB%8F%85%EC%8B%A0%EC%9D%98-%EC%82%B6/3482,로맨스 판타지,270.5만,9.8만,3.0,"캐서린은 많은 걸 원하지 않았다옷과 장신구 같은 사치품이 없어도,끝이 다 찢겨 흉측한 침실의 커튼이나굽이 다 닳아 높이가 다른 구두도 괜찮았다돌아가신 어머니를 위해서라도이를 악물고 견딘지 2년이제 더는 그럴 필요를 느끼지 못했다""좋아요, 제가 나갈게요""캐서린은 이 모든 것에 지쳤다***""교황의 번견인가? 여기까지 잘도 찾아왔군""그녀의 저택에 침입한 남자는 머리부터 발끝까지 젖은 채였다까만 가죽 장화 아래로 진흙이 엉망으로 뭉개진 게 보였다이럴수가바닥을 닦던 도중에 풀도 아닌 진흙을 끌고 오다니“변장이 꽤 그럴싸해 누가 봐도 평범한 도시 여성이라 하마터면 속아 넘어갈 뻔했…”“닦아”그녀는 잡고 있던 대걸레를 남자에게 내밀었다“뭘 그렇게 멍청하게 봐? 바닥 닦으라니까? 그리고 초면에 함부로 검 들이미는 거 아니야 주거 침입으로 모자라 살인 미수로 신고당하고 싶어?”","몰입되는,궁금하게하는,로맨스판타지,힐링물",연재,월,3시간마다 무료
나는 EX급 헌터다,kakao,도담,https://webtoon.kakao.com/content/%EB%82%98%EB%8A%94-EX%EA%B8%89-%ED%97%8C%ED%84%B0%EB%8B%A4/3841,판타지 드라마,66만,1.9만,3.0,헌터들의 세계에 떨어진 기사는 다시 한 번 검을 들었다,"역동적인,통쾌한,판타지드라마,환생물",시즌완결,월,3시간마다 무료
마도선자,kakao,견마지로,https://webtoon.kakao.com/content/%EB%A7%88%EB%8F%84%EC%84%A0%EC%9E%90/3988,액션/무협,26.9만,1.2만,3.0,"장강을 핏빛으로 물들인 '장강혈마'온갖 악행으로 결국 처단을 당하게 되고 죽기 직전에 자신의 신병 '멸수회천도'에 자신의 혼을 넣는다그렇게 시간이 지나 어느날,물고기 배 속에서 우연히 '멸수회천도'를 발견한 애 딸린 아낙네 선자 장강혈마는 어수룩한 촌 아낙네인 선자의 몸을 빼앗고 다시금 세상에 준동하여 천하마도를 꿈꾸는데하지만 세상물정 모르는 선자와 호시탐탐 기회만 노리는 장강혈마의 강호행이 펼쳐진다","웃기는,몰입되는,액션/무협,성공성장물",연재,월,1일마다 무료
악역 황녀님은 과자집에서 살고 싶어,kakao,밤만쥬,https://webtoon.kakao.com/content/%EC%95%85%EC%97%AD-%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%80-%EA%B3%BC%EC%9E%90%EC%A7%91%EC%97%90%EC%84%9C-%EC%82%B4%EA%B3%A0-%EC%8B%B6%EC%96%B4/2721,로맨스 판타지,471.6만,17.1만,3.0,"찢어지게 가난한 집 아이로 환생한 줄 알았더니…“아나스타샤 황손 저하를 모시러 왔습니다”…아무래도 나는 ‘원작’에서 권력을 탐하다비참한 최후를 맞이하는 황녀에 빙의한 모양이다권력에 관심이 없음을 보여 줄 겸,전생에서 못다 이룬 파티시에의 꿈을 향한 욕심도 채울 겸,계약한 정령의 도움을 받아 열심히 과자만 구웠다맛있는 걸 먹으면 기분이 좋아질 테니설마 나를 죽이지야 않겠지그런데 냉혹하고 비정한 황제(할아버지)도,나를 파멸로 몰고 갈 남주 황태손(사촌 오빠)도,제국 최강의 기사인 소공작(오빠 친구)도,나한테 칼을 꽂을 노예 기사(엘프)도""저하의 라임 파이가 좋다는 말입니다""…이 사람들, 설마 과자 말고 나한테 푹 빠진 건가?디저트처럼 달콤하고 사랑스러운악역 황녀 아샤의 베이킹&힐링 판타지","귀여운,따뜻한,로맨스판타지,힐링물",연재,일,3시간마다 무료
던전 견문록,kakao,손민우,https://webtoon.kakao.com/content/%EB%8D%98%EC%A0%84-%EA%B2%AC%EB%AC%B8%EB%A1%9D/3190,액션/무협,207.9만,9.8만,5.0,"미궁에서 태어나 괴수의 젖을 먹고 자란 인류의 후손, 특별한 힘과 강인한 신체를 지닌 그들이 돌아왔을 때 인류는 그들을 가리켜 던전 베이비라 불렀다 그중에서도 가장 깊은 미궁에서 태어난 김진우""강해지려고 한 적은 없어 단지 난 살고싶었을 뿐이야""가장 비천한 토굴꾼에서 미궁의 왕까지, 지금 그의 일대기가 펼쳐진다","개성있는,역동적인,액션/무협,에피소드물",연재,토,3시간마다 무료
괴물 공작이 나를 아내로 착각한다,kakao,창만,https://webtoon.kakao.com/content/%EA%B4%B4%EB%AC%BC-%EA%B3%B5%EC%9E%91%EC%9D%B4-%EB%82%98%EB%A5%BC-%EC%95%84%EB%82%B4%EB%A1%9C-%EC%B0%A9%EA%B0%81%ED%95%9C%EB%8B%A4/4002,로맨스 판타지,43.7만,1.9만,3.0,"빙의한 소설 속 흑막이자 저주받은 '괴물 공작',딜리언 시나이즈가 눈앞에 나타났다대체 누구에게 당한 건지, 다 죽어가는 채로모른 척할 수 없어 치료해줬더니기억을 잃고 이상한 착각을 한다?""당신만 보면 심장이 무섭게 뛰고, 정신이 아찔합니다""""그, 그건…""""역시 저희는 연인이었군요""""아니에요, 모르는 사이였다니까요?""한 번 시작된 오해는 걷잡을 수 없이 커져만 가는데""부인이 제 곁을 떠나면…""""죽이기라도 하게요?""""아니, 당신을 데려간 놈을 죽여야지""이 무서운 남자한테서무사히 벗어날 수 있을까?","귀여운,웃기는,로맨스판타지,힐링물",연재,토,3시간마다 무료
수상한 고백,kakao,은도철,https://webtoon.kakao.com/content/%EC%88%98%EC%83%81%ED%95%9C-%EA%B3%A0%EB%B0%B1/3095,로맨스,98.4만,2.1만,3.0,"“우리 결혼해”해외 출장에서 다녀온 고민해는 공항에서 짝사랑 상대인 강현과 자신의 단짝 친구인 윤아가 결혼한다는 소식을 듣는다 둘이 사귀는 것도 몰랐는데 결혼이라고? 심지어 윤아는 자신이 좋아하는 상대가 강현임을 알고 있었다성공을 향한 일념으로 일에만 매달려 열심히 살았는데, 그 결과가 절친의 배신과 실연의 콜라보라니울적한 마음으로 퇴근하고 집에 돌아가는 길, 민해는 우연히 길에서 발견한 자신의 반려묘 마리를 구하기 위해 차도에 뛰어든다 사고 직후에 기억나는 건 번쩍이는 헤드라이트 불빛과 붕 떠오르는 감각 ‘이렇게 죽는 건가?’라는 생각이 드는 동시에 눈을 떠보니 교통사고가 나기 1년 반 전으로 돌아왔다이렇게 된 이상 이전 삶과 다르게 살아보겠어 워라밸도 지키고, 늦기 전에 강현이에게 고백도 할 거야의지를 다지던 민해에게 이전 생(?)에선 연관이 없었던 권주혁 부장이 점점 관심을 보이기 시작하는데…우연히 과거로 회귀한 민해의 새 인생 구축 프로젝트","몰입되는,발랄한,로맨스,회귀물",연재,수,3시간마다 무료
구미호를 잘못 키웠다,kakao,노노,https://webtoon.kakao.com/content/%EA%B5%AC%EB%AF%B8%ED%98%B8%EB%A5%BC-%EC%9E%98%EB%AA%BB-%ED%82%A4%EC%9B%A0%EB%8B%A4/3849,로맨스 판타지,228.8만,8.2만,3.0,"어느 날 요괴를 주웠다 그것도 새끼 구미호를녀석의 거취가 고민이 되던 차 만난 동대륙의 신녀,그녀는 내게 성체가 될 때까지 키운 뒤 고향으로 보내라고 한다새끼 여우를 키우라니…저주받은 인간이 어떻게 어린 생명을 품고 치료한단 말인가낯설고 두려웠지만 거부할 수 없었다여우가, 란이 너무나도 사랑스러웠기에그렇게 애정을 듬뿍 퍼부어 고이고이 키웠는데다 커서 오금이 저리도록 농염해진 녀석이 독립을 거부한다그동안의 훈육이 물거품이 될 정도로 야한 얼굴로""도망치는 건 안 돼""""계속 착하도록 날 도와줘요, 실리아 내 곁에서""영원히","환상적인,에로틱한,로맨스판타지,수인물",연재,화,1일마다 무료
악역 공작 영애의 특별한 쌀 재배법,kakao,다온스튜디오(유람),https://webtoon.kakao.com/content/%EC%95%85%EC%97%AD-%EA%B3%B5%EC%9E%91-%EC%98%81%EC%95%A0%EC%9D%98-%ED%8A%B9%EB%B3%84%ED%95%9C-%EC%8C%80-%EC%9E%AC%EB%B0%B0%EB%B2%95/3774,로맨스 판타지,46.5만,1.7만,4.0,"어느 날 전생이 기억났다쌀 농사꾼으로의 성공을 목전에 두고 망할 트럭에 치여 허무하게 죽은 전생이게다가 전생에서 읽은 소설 속 악역 영애란다무려 사이코패스 남자 주인공들과 엮이다가 결국 처참하게 죽임당하는 악역 영애하늘이 무너지는 듯한 충격에 나는 굳건히 다짐했다이번 생에는 결코 쉽게 죽어주지 않겠어“그 ‘오빠’ 소리 그만두지 그래” 메테오로 당장 날 태워죽일 것 같은 마법사도“예상 밖의 것 그건 꽤 좋아할지도 모르겠군요”싱글싱글 웃는 낯으로 속은 시커먼 흑막도“내가 원하는 건 죽음이야”저를 죽여달라는 꺼림칙한 마수왕도“사실, 나는 영애에게 꽤 호감을 가지고 있어”맥락 없이 들이대는 이상한 황태자도모두 잘 피해서 전생에 못다 이룬 ‘쌀 사업으로 대성공’의 꿈을 이루는 거야“쌀이라니, 그게 뭡니까? 아가씨?”“아, 고대의 성현들이 재배해 먹었지만 결국 멸종된 전설의 고대 작물 맞죠?”……엥? 근데 뭐라고? 이 세계엔 쌀이 없단 말이야?","궁금하게하는,기발한,로맨스판타지,빙의물",시즌완결,월,3시간마다 무료
남주의 여자사람친구가 되었다,kakao,꼬리,https://webtoon.kakao.com/content/%EB%82%A8%EC%A3%BC%EC%9D%98-%EC%97%AC%EC%9E%90%EC%82%AC%EB%9E%8C%EC%B9%9C%EA%B5%AC%EA%B0%80-%EB%90%98%EC%97%88%EB%8B%A4/3360,로맨스 판타지,405만,16.8만,4.0,"미친 외모의 남주, 루드릭 바우저…를 짝사랑하는 여자사람친구로 환생해 버렸다?주인공들의 사랑놀음에 이용당할 운명이라니…나, 달리아 에이버린은 금수저 라이프를 만끽하며세계 각국의 미남들과 뜨거운 연애를 할 거야그런데………“안녕하세요, 바우저 영애”“……으아앙”여자애로 착각해 울려 버렸다?그 후 친해진 것도 잠시,전쟁으로 헤어졌다 다시 만난 남주는……“못 본 새 눈이 많이 낮아졌나 봐, 에이버린 공녀""""왜 내 연애 사업을 방해하고 난리야우리 그냥 친구 사이 아니었니?안 돼 이번 생에는남주의 가'족'같은 친구가 되어주겠어","발랄한,귀여운,로맨스판타지,로맨틱코미디물",연재,월,3시간마다 무료
튜토리얼이 너무 어렵다,kakao,이마에 다이키,https://webtoon.kakao.com/content/%ED%8A%9C%ED%86%A0%EB%A6%AC%EC%96%BC%EC%9D%B4-%EB%84%88%EB%AC%B4-%EC%96%B4%EB%A0%B5%EB%8B%A4/2467,학원/판타지,784.4만,23.4만,8.0,우연히 튜토리얼의 세계로 들어가게 된 전직 프로게이머 이호재 튜토리얼에서 살아남기 위해서 처절한 노력을 하는 주인공은 주어진 미션을 클리어 해나가면서 튜토리얼의 비밀을 알게되는데 튜토리얼을 넘어서 적극적으로 자신의 삶과 세계를 변화시켜 나가는 성장물,"처절한,긴장감있는,학원/판타지,레벨업물",연재,월,3시간마다 무료
나만 아는 주인공들,kakao,뭉쥐,https://webtoon.kakao.com/content/%EB%82%98%EB%A7%8C-%EC%95%84%EB%8A%94-%EC%A3%BC%EC%9D%B8%EA%B3%B5%EB%93%A4/4007,판타지 드라마,14.4만,"9,274",3.0,"“만약 내게 다시 한번 더 기회가 주어진다면…”지구의 종말이 시작되고 10년,죽음을 눈앞에 두고 생을 후회하던유현의 머리 위로 강렬한 빛이 내려온다그러다 눈을 떴을 땐 낯선 풍경이 펼쳐져 있는데인간이 아닌 이종족 ‘텔러’로 환생한 것도 모자라,10년 전으로 회귀까지 하게 된 유현“기왕 이렇게 된 거 최선을 다해 살아 주겠어”살아남는 데에만 급급했던 지난 생과 달리,이번엔 성공적인 삶을 살고자 다짐하게 된다새롭게 얻어 낸 또 한 번의 삶에서과연 유현은 스스로 인생의 주인공이 될 수 있을까?","통쾌한,역동적인,판타지드라마,회귀물",연재,월,3시간마다 무료
더는 못본척 하지 않기로 했다,kakao,DAMA,https://webtoon.kakao.com/content/%EB%8D%94%EB%8A%94-%EB%AA%BB-%EB%B3%B8-%EC%B2%99%ED%95%98%EC%A7%80-%EC%95%8A%EA%B8%B0%EB%A1%9C-%ED%96%88%EB%8B%A4/3169,로맨스 판타지,189.8만,6.8만,3.0,"회귀하고 나서야 깨달았다외도를 저지른 남편은 어떻게든 다시 또 외도를 저지르고,저 망할 내연녀는 다시 또 내 앞에 나타나고,내 명줄은 그리 길지 않다는 걸""우리 이혼해요""""뭐?""""당신에게 줄 돈은 한 푼도 없으니까 내가 사준 것들 전부 내놓고 나가세요저기 저 구석에 처박힌 속옷까지 전부, 다""""갑자기 왜 이러는 거요?""""갑자기?""절로 비틀린 미소가 그려졌다 원래 염치없는 사람인 줄은 알았지만 이건 좀 심하잖아""그건 당신이 더 잘 알겠지, 이 하반신으로 생각하는 짐승 새끼야""","통쾌한,설레는,로맨스판타지,회귀물",연재,월,3일마다 무료
L.A.G,kakao,암현,https://webtoon.kakao.com/content/L.A.G/2715,학원/판타지,"1,727.8만",64.4만,71.0,"인간이 각성을 통해 능력이나 스킬을 쓸고 있고각 층, 방마다 몬스터들이 나오고거기에 따른 미션이 주어지는 미지의 공간 LAG이곳의 목표는 최하층에 도달하는 것이다그 알 수 없는 공간 LAG에서수없이 죽음과 삶을 반복하고 있는 주인공하지만 이번 생에는 패시브 스킬을무한으로 소유할 수 있는 능력을 갖게 되고드디어 이곳을 탈출할 수 있는 기회가 찾아온다그러나 LAG도 지금까지 자신의 겪어왔던 것과 달리계속 변하게 되면서 한 치 앞도 알 수 없게 된다그 누구도 믿을 수 없고끝이 보이지 않는 지옥 같은 LAG에서끝까지 살아남아 최하층 탈출을 위해 싸워나가는처절한 생존 서바이벌","역동적인,압도되는,학원/판타지,레벨업물",연재,월,3시간마다 무료
상사와의 수상한 잠자리,kakao,가현,https://webtoon.kakao.com/content/%EC%83%81%EC%82%AC%EC%99%80%EC%9D%98-%EC%88%98%EC%83%81%ED%95%9C-%EC%9E%A0%EC%9E%90%EB%A6%AC/3146,로맨스,172.6만,3.3만,3.0,"3년간 헌신한 남자친구에게 헌신짝처럼 버려진 은수홧김에 클럽으로 놀러 갔다가 일이 좀 이상하게 흘러간 모양이다……?“지독한 불면증입니다 그런데 당신 곁에서는 잠이 왔어요”‘어디서 약을 팔려고 그렇게 잘 자 놓고서는’술에 취해 정말 ‘잠만’ 자고 헤어진 상대가자신을 애타게 찾았다며 얼토당토않은 소리를 하는데“오늘도 당신과 자고 싶어요 그냥 자기만 하는 겁니다”그러나 끈질긴 남자의 요구에 한 번 더 재워 주게 된 은수남자가 잠든 사이, 거짓 번호를 알려 주고 도망쳐 나온다“반갑습니다 채은수 씨 본부장 서도진입니다”그런데 며칠 후, 기획팀에 새로 부임한 본부장은그날 은수가 도망치듯 두고 나온 바로 그 남자였다“우선 1년만 사귀어 봅시다”심지어 ‘밤’을 함께하는 조건으로 계약연애까지 제안해 오는데계약연애로 이어진 하룻밤 인연, 과연 그 결말은……?","설레는,에로틱한,로맨스,오피스물",연재,월,3시간마다 무료
철혈검가 사냥개의 회귀,kakao,이산책(REDICE STUDIO),https://webtoon.kakao.com/content/%EC%B2%A0%ED%98%88%EA%B2%80%EA%B0%80-%EC%82%AC%EB%83%A5%EA%B0%9C%EC%9D%98-%ED%9A%8C%EA%B7%80/3455,학원/판타지,"1,208.7만",35.1만,3.0,"바스커빌 가문의 사냥개 '비키르'사냥개로서 가문에 충성한 보답은 모함과 누명으로 얼룩진 단두대의 칼날이었다""다시는 토끼를 잡고 나면 삶아지는 사냥개처럼 살지 않겠노라""그런 그에게 죽음 대신 찾아온 뜻밖의 기회어둠 속에서 송곳니를 갈고닦는 비키르의  눈이 붉게 빛났다""기다려라 휴고 이번엔 반드시 네 목을 물어뜯어 주마""주인을 향한 사냥개의 잔혹한 핏빛 복수가 시작된다","역동적인,몰입되는,학원/판타지,복수물",시즌완결,월,3시간마다 무료
게임 속 기연이 현실로,kakao,어쩌다,https://webtoon.kakao.com/content/%EA%B2%8C%EC%9E%84-%EC%86%8D-%EA%B8%B0%EC%97%B0%EC%9D%B4-%ED%98%84%EC%8B%A4%EB%A1%9C/3715,판타지 드라마,57.1만,2.5만,3.0,"복수는 없는 것이라고 누가 그랬는가?이리도 즐거운데마법이 극도로 발달하여, SF나 다름없는 문명을 자랑하는 세상 '론델' 귀족가에서 환생했지만, 평민 출신의 첩의 자식으로 태어나정실부인과 이복형제에게 목숨을 위협받는 나날 속에서세상을 바꾼 위대한 마법사 ‘마누엘 루카스’ 의 기연을 획득했다그리고 시작되는 사이다 복수극'이제부터 내가 원하던 삶을 살아갈 거야'","몰입되는,통쾌한,판타지드라마,복수물",연재,토,3시간마다 무료
꽃을 피우는 아기 가주님,kakao,김손,https://webtoon.kakao.com/content/%EA%BD%83%EC%9D%84-%ED%94%BC%EC%9A%B0%EB%8A%94-%EC%95%84%EA%B8%B0-%EA%B0%80%EC%A3%BC%EB%8B%98/3671,로맨스 판타지,84.4만,3.7만,3.0,"""글로리오사…꽃잎 하나 못 피우는 추한 것 같으니,너야말로 나무의 먹이로 딱이구나―""나는 화인(花人) 일족 엘바도르 가문의 37명의 자녀 중 하나로,가문의 근간인 신목에게 제물로 바쳐졌다그 후태중 약혼자 아르비드의 도움으로가문을 멸망시키고 죽음으로써 겨우 구원받았는데눈을 뜨니, 과거로 회귀했다…?끔찍한 과거를 모두 다시 겪어야 한단 건가?나는 죽어서도 구원받지 못한 거야?…모든 것을 다시 시작해야 한다면,이번 생에선 스스로 구원하겠어―글로리오사의 강렬하고도 사랑스러운 구원물<꽃을 피우는 아기 가주님>","귀여운,따뜻한,로맨스판타지,복수물",시즌완결,목,1일마다 무료
너를 소유하는 법,kakao,주원,https://webtoon.kakao.com/content/%EB%84%88%EB%A5%BC-%EC%86%8C%EC%9C%A0%ED%95%98%EB%8A%94-%EB%B2%95/3253,로맨스,135.5만,3.4만,3.0,"4년간 손과 발이 단단히 묶인 채로 살아왔다머지않아 정략결혼까지 하게 된다면, 완전히 철창 안에 갇힌 새가 되고 말 것이다아버지를 향한 반항심으로, 태어나 처음으로 클럽에 간 날이름 모를 낯선 남자의 손이 아라의 속옷을 움켜쥐려던 그 순간,""아가씨, 여기 계셨습니까?""아라의 첫사랑, 경호원 윤5년 전, 아무런 말도 없이 사라졌던 그가마치 꿈속에서 나타난 듯 문가에 떡하니 서 있었다""회장님께서 애타게 찾고 계십니다""""나쁜 놈⋯⋯ 5년 만에 나타난 주제에""아버지의 충견으로 180도 다른 사람이 되어 돌아온 윤을 되찾기 위해,아라는 윤이 감추고 있는 비밀을 본격적으로 파헤치기 시작하는데과연 두 사람은 서로를 온전하게 소유할 수 있을까?","몰입되는,분노유발,로맨스,막장드라마",완결,15,3시간마다 무료
이계막차,kakao,휘요,https://webtoon.kakao.com/content/%EC%9D%B4%EA%B3%84%EB%A7%89%EC%B0%A8/2772,판타지 드라마,524.9만,22.9만,49.0,꽃을 피우면 소원을 빌 수 있다고?야근 후 피곤한 몸을 이끌어 겨우 막차를 탄 ‘강지안’은잠깐 졸게 되고 종착역까지 가버리게 된다그리고 눈을 뜬 그곳은 한 번도 본 적 없는 세상 ‘이계’였다온갖 요괴와 귀신들 사이에서 돌아갈 방법을 찾는 와중익명의 누군가에게 받은 달맞이꽃을 피우면소원을 빌어 돌아갈 수 있다고 한다그리고 지안에게 나타난 수상한 남자 ‘찬’소문도 좋지 않고 하는 짓마다 믿음직스럽지 못한 그가지안과 함께 꽃을 피우기로 약속하는데…무사히 꽃을 피워 소원을 빌고 다시 돌아갈 수 있을까?,"몰입되는,환상적인,판타지드라마,차원이동물",완결,3시간마다 무료,3시간마다 무료
무존재감,kakao,점심,https://webtoon.kakao.com/content/%EB%AC%B4%EC%A1%B4%EC%9E%AC%EA%B0%90/3412,공포/스릴러,150.3만,5.6만,46.0,"세계는 원인불명 바이러스로 인해많은 사람들이 식인 괴물로 변했고,죽어가는 사람들의 비명소리가 괴물들의 울음소리에 삼켜졌다선천적으로 부족한 존재감으로 주변 사람들의 관심을 받지 못해암울한 삶을 살았던 소년 ‘김종도’는괴물들에게도 관심을 받지 못해 종말 끝에서 살아남았고,어째서인지 김종도는 몇몇 괴물들과 대화가 가능했다그렇게 괴물들과의 소통으로아주 조금이나마 외로움을 달래던 와중에,고등학교 시절 같은 반 여학생 ‘조명’을우연한 계기로 만나게 된다 주변의 무관심과는 다르게김종도를 관심 있게 대하는 몇 안 되는 사람 중 한 명이었고,그렇게 김종도의 ‘무존재감’이 흔들리기 시작한다","긴장감있는,몰입되는,공포/스릴러,재난물",연재,월,전편 무료
열애 수업,kakao,펀치,https://webtoon.kakao.com/content/%EC%97%B4%EC%95%A0-%EC%88%98%EC%97%85/2985,로맨스,290.1만,6.3만,3.0,"의붓어머니와 자매의 갖은 핍박 속에서 살아가던 지은채어느 날 지옥 같은 집안에서 벗어날 기회가 생긴다바로 옛 스승이자 차운 그룹 차남 차이헌과의 맞선 자리""여긴 네가 있을 곳이 아냐, 돌아가""은채를 본 이헌은 돌아서지만""죽은 듯이, 아무것도 아닌 존재로 살게요제발… 한 번만 도와주세요""은채는 그에게 간절히 매달린다그렇게 성사된 조건부 결혼 생활첫째, 의심받지 않도록 뜨겁게 사랑하는 모습을 보여줄 것둘째, 이 결혼을… 1년 후 산산조각 내줄 것두 사람만의 은밀하고 뜨거운 <열애 수업>이 시작된다","설레는,에로틱한,로맨스,로맨틱코미디물",시즌완결,화,3시간마다 무료
적기사는 눈먼 돈을 좇지 않는다,kakao,송재민,https://webtoon.kakao.com/content/%EC%A0%81%EA%B8%B0%EC%82%AC%EB%8A%94-%EB%88%88%EB%A8%BC-%EB%8F%88%EC%9D%84-%EC%A2%87%EC%A7%80-%EC%95%8A%EB%8A%94%EB%8B%A4/2524,로맨스 판타지,447.3만,18.5만,3.0,"회귀 후, 흑기사였던 과거를 버리고 적기사가 된 유디트 이번 생은 후회하지 않는 삶을 살 수 있을까?","몰입되는,압도되는,로맨스판타지,회귀물",완결,3시간마다 무료,3시간마다 무료
영원한 조연은 없다,kakao,하담우,https://webtoon.kakao.com/content/%EC%98%81%EC%9B%90%ED%95%9C-%EC%A1%B0%EC%97%B0%EC%9D%80-%EC%97%86%EB%8B%A4/3830,로맨스 판타지,23.5만,"9,831",3.0,"눈을 뜨니 한 순간의 실수로 추락한 조연에 빙의했다“하필이면 여주인공도, 돈 많은 부자도 아닌,대형 사고 한 번 치는 걸로 나오던 그 덜떨어진 신관 엑스트라라니”‘하급 신관 엘레나’가 강제 노역의 위기를 벗어날 방법은 단 하나평민의 신분을 숨기고 황제의 남동생을 가르치는 신학 교사가 되는 것기왕 이렇게 된 거,같은 교사이자 여주인공인 ‘로잘린느’ 옆에서 삼각 로맨스를 직관하고결국은 남주인공인 황제에게 정착하는 러브 스토리나 지켜볼까 했더니…“당신 정말 평민이었군요?”정체를 들킴과 동시에 로잘린느의 무시무시한 민낯을 마주하고 만다그런데… 로잘린느의 일을 대신하며 남주인공들과 엮이기 시작한다?잠깐, 이건 여주인공의 역할이라고하지만 그들의 맹렬한 접근에도 불구하고엘레나에게는 우연히 만난 보잘것없는 수습 기사가 눈에 밟히는데…","설레는,발랄한,로맨스판타지,빙의물",시즌완결,월,3시간마다 무료
